held_out_country,model,feature,standardised_coefficient,selected_alpha
TZA,governance_only,regulatory_quality__score_0_1,0.0003856671852104806,10000.0
TZA,governance_only,rule_of_law__score_0_1,0.0006894336544472201,10000.0
TZA,governance_only,voice_accountability__score_0_1,0.0013407433062476738,10000.0
ZAF,governance_only,control_of_corruption__score_0_1,0.0016341666813618771,10000.0
ZAF,governance_only,government_effectiveness__score_0_1,0.0017487639853895596,10000.0
ZAF,governance_only,political_stability__score_0_1,0.003634019719039456,10000.0
ZAF,governance_only,regulatory_quality__score_0_1,0.0027372698476414185,10000.0
ZAF,governance_only,rule_of_law__score_0_1,0.0019161087818688842,10000.0
ZAF,governance_only,voice_accountability__score_0_1,0.003617515045308903,10000.0
ZMB,governance_only,control_of_corruption__score_0_1,0.0002689088807982975,10000.0
ZMB,governance_only,government_effectiveness__score_0_1,2.9778603359181792e-05,10000.0
ZMB,governance_only,political_stability__score_0_1,0.002783137528310536,10000.0
ZMB,governance_only,regulatory_quality__score_0_1,0.0005778838474609778,10000.0
ZMB,governance_only,rule_of_law__score_0_1,0.000469670739811733,10000.0
ZMB,governance_only,voice_accountability__score_0_1,0.0011993813459013553,10000.0
ZWE,governance_only,control_of_corruption__score_0_1,-0.0015704056129878419,10000.0
ZWE,governance_only,government_effectiveness__score_0_1,-0.0015011632117569766,10000.0
ZWE,governance_only,political_stability__score_0_1,0.0023384808145240268,10000.0
ZWE,governance_only,regulatory_quality__score_0_1,-0.0026902307247985953,10000.0
ZWE,governance_only,rule_of_law__score_0_1,-0.0018261841179318585,10000.0
ZWE,governance_only,voice_accountability__score_0_1,-0.001202631193885107,10000.0
BWA,governance_plus_controls,control_of_corruption__score_0_1,0.008612095947125186,100.0
BWA,governance_plus_controls,government_effectiveness__score_0_1,0.04454047851356426,100.0
BWA,governance_plus_controls,political_stability__score_0_1,0.0996967575240702,100.0
BWA,governance_plus_controls,regulatory_quality__score_0_1,0.08640880796032668,100.0
BWA,governance_plus_controls,rule_of_law__score_0_1,0.0021123177423046733,100.0
BWA,governance_plus_controls,voice_accountability__score_0_1,0.01572625847967802,100.0
BWA,governance_plus_controls,mineral_rents_pct_gdp,0.06053389994900975,100.0
BWA,governance_plus_controls,log_gdp_per_capita,-0.1824994299307906,100.0
BWA,governance_plus_controls,log_gdp,-0.13761826756145812,100.0
COD,governance_plus_controls,control_of_corruption__score_0_1,-0.08332437181790227,56.23413251903491
