iso3,configuration,pci_c1,pci_c3,rpci_c1,rpci_c3,delta_pci
MAR,standalone_mcdm,0.3895191311299795,0.3955191311299795,0.328150042861704,0.333250042861704,0.006
MAR,standalone_ai,0.3895191311299795,0.3985191311299795,0.328150042861704,0.335800042861704,0.009
MAR,static_ai_mcdm,0.3895191311299795,0.4085191311299795,0.328150042861704,0.344300042861704,0.019
MAR,aiml_mrms_full_adaptive,0.3895191311299795,0.4195191311299795,0.328150042861704,0.35365004286170404,0.03
MOZ,standalone_mcdm,0.2533398513802276,0.2593398513802276,0.22968760398477148,0.23478760398477147,0.006
MOZ,standalone_ai,0.2533398513802276,0.2623398513802276,0.22968760398477148,0.23733760398477147,0.009
MOZ,static_ai_mcdm,0.2533398513802276,0.2723398513802276,0.22968760398477148,0.24583760398477147,0.019
MOZ,aiml_mrms_full_adaptive,0.2533398513802276,0.28333985138022755,0.22968760398477148,0.25518760398477147,0.03
NAM,standalone_mcdm,0.4518842364376252,0.4578842364376252,0.37256394897018874,0.37766394897018873,0.006
NAM,standalone_ai,0.4518842364376252,0.4608842364376252,0.37256394897018874,0.38021394897018873,0.009
NAM,static_ai_mcdm,0.4518842364376252,0.4708842364376252,0.37256394897018874,0.38871394897018874,0.019
NAM,aiml_mrms_full_adaptive,0.4518842364376252,0.48188423643762524,0.37256394897018874,0.39806394897018876,0.03
NGA,standalone_mcdm,0.11470089701947535,0.12070089701947535,0.08901115001326947,0.09411115001326947,0.006
NGA,standalone_ai,0.11470089701947535,0.12370089701947534,0.08901115001326947,0.09666115001326947,0.009
NGA,static_ai_mcdm,0.11470089701947535,0.13370089701947535,0.08901115001326947,0.10516115001326946,0.019
NGA,aiml_mrms_full_adaptive,0.11470089701947535,0.14470089701947536,0.08901115001326947,0.11451115001326946,0.03
SEN,standalone_mcdm,0.47773166263309114,0.48373166263309114,0.41244001683235476,0.41754001683235475,0.006
SEN,standalone_ai,0.47773166263309114,0.48673166263309114,0.41244001683235476,0.42009001683235475,0.009
SEN,static_ai_mcdm,0.47773166263309114,0.49673166263309115,0.41244001683235476,0.42859001683235476,0.019
SEN,aiml_mrms_full_adaptive,0.47773166263309114,0.5077316626330911,0.41244001683235476,0.4379400168323548,0.03
SLE,standalone_mcdm,0.14656049104166524,0.15256049104166525,0.10035972691231478,0.10545972691231478,0.006
SLE,standalone_ai,0.14656049104166524,0.15556049104166525,0.10035972691231478,0.10800972691231478,0.009
SLE,static_ai_mcdm,0.14656049104166524,0.16556049104166523,0.10035972691231478,0.11650972691231477,0.019
SLE,aiml_mrms_full_adaptive,0.14656049104166524,0.17656049104166524,0.10035972691231478,0.12585972691231478,0.03
ZAF,standalone_mcdm,0.5834794521860489,0.5874794521860489,0.5130881277642624,0.5164881277642623,0.004
ZAF,standalone_ai,0.5834794521860489,0.5894794521860489,0.5130881277642624,0.5181881277642624,0.006
ZAF,static_ai_mcdm,0.5834794521860489,0.5924794521860489,0.5130881277642624,0.5207381277642624,0.009
ZAF,aiml_mrms_full_adaptive,0.5834794521860489,0.6004794521860489,0.5130881277642624,0.5275381277642623,0.017
TZA,standalone_mcdm,0.31477222232586677,0.3207722223258668,0.26442224427589894,0.26952224427589894,0.006
TZA,standalone_ai,0.31477222232586677,0.3237722223258668,0.26442224427589894,0.27207224427589893,0.009
TZA,static_ai_mcdm,0.31477222232586677,0.3337722223258668,0.26442224427589894,0.28057224427589894,0.019
TZA,aiml_mrms_full_adaptive,0.31477222232586677,0.3447722223258668,0.26442224427589894,0.28992224427589897,0.03
ZMB,standalone_mcdm,0.23541706808001298,0.24141706808001298,0.18213694443090805,0.18723694443090805,0.006
ZMB,standalone_ai,0.23541706808001298,0.24441706808001298,0.18213694443090805,0.18978694443090804,0.009
