iso3,country,rho,pci_point,pci_mc_mean,pci_mc_lower95,pci_mc_upper95,rpci_point,rpci_mc_mean,rpci_mc_lower95,rpci_mc_upper95
NAM,Namibia,0.25,0.5212402345528825,0.5183004694582503,0.47268253265960514,0.5628589532630297,0.48321946332823695,0.4793850090188268,0.42807576589873986,0.5301411535089745
NGA,Nigeria,0.25,0.2905652923174743,0.28733524240347774,0.24106212392960863,0.332807362832291,0.2586857375016803,0.25467347008772784,0.20506405197140537,0.30433035643884576
SEN,Senegal,0.25,0.5094690271353777,0.5037648070687826,0.4656660185145796,0.5415141237029734,0.48888102084529605,0.481357785241775,0.4386246648998361,0.5240751211330642
SLE,Sierra Leone,0.25,0.3329391585317203,0.3302518420824078,0.2876714367889158,0.3723564143521321,0.29445860557125586,0.2915385924762159,0.2449074141139854,0.3379378531561473
TZA,Tanzania,0.25,0.42365040699502576,0.41995699035085254,0.37983624937851046,0.45967318566849186,0.40029924678095213,0.3941674855260022,0.3492673912793173,0.4384858180913356
ZAF,South Africa,0.25,0.4658048289894366,0.4626956912028665,0.41473625143799897,0.5101174698263443,0.42998321997106026,0.42587903706839225,0.37269416857849136,0.4786016014690987
ZMB,Zambia,0.25,0.3997821392246472,0.3973429179096544,0.3563942947686826,0.4378006444817926,0.3640546986309639,0.3608662929329407,0.31481957188855725,0.40644718755697834
ZWE,Zimbabwe,0.25,0.27430576234077236,0.27132149982848586,0.22931178972058525,0.31148081425194585,0.243067753641624,0.23910864844486882,0.1942336789578487,0.28317979727663944
BWA,Botswana,0.5,0.564583206834401,0.5621796191085301,0.5135125379584032,0.6098202734323684,0.53403505716391,0.5284866418656897,0.47718418806538393,0.5784002548661484
COD,"Congo, Dem. Rep.",0.5,0.20198951628174855,0.19997369969012171,0.14706956416085465,0.2525591358319892,0.17304355699991633,0.1705987963473925,0.11722390677944947,0.22447887042489006
GHA,Ghana,0.5,0.4877806676408468,0.4858964697834169,0.4408525699426078,0.5315072563910548,0.45398074849775133,0.45176081564090437,0.4035412656429601,0.4998297675994477
GIN,Guinea,0.5,0.29414225867494836,0.2918790786928985,0.24444889847889034,0.33902244960038225,0.2624701343233849,0.2599633630709178,0.21148727937849196,0.30862101716813517
MAR,Morocco,0.5,0.42794369343040756,0.4251858697447358,0.3773006493264911,0.4729595426686381,0.3944419519751744,0.39086533288145686,0.3415396993623664,0.43948992181393337
MLI,Mali,0.5,0.2540266733230246,0.25187560229949985,0.19450039057940613,0.3084877542175503,0.22340192725218225,0.22113976409743497,0.16108948658928804,0.2817802728854969
MOZ,Mozambique,0.5,0.31328736316296957,0.31015800645186653,0.2594856175803363,0.36064299397980343,0.2909093696220394,0.2862505196866427,0.2326294863336649,0.339903104533861
MRT,Mauritania,0.5,0.33092581275758476,0.32867823523280587,0.2788965047704234,0.37823959227545617,0.2963172378875438,0.2935822514339999,0.24162314183990105,0.3460828407100079
NAM,Namibia,0.5,0.5212402345528825,0.5189012366133787,0.4676026256818146,0.5701482687039275,0.48321946332823695,0.48032588451961145,0.4252513154084676,0.5355048482207737
NGA,Nigeria,0.5,0.2905652923174743,0.2878738309874196,0.23277566901789437,0.3405409888972303,0.2586857375016803,0.255416048721044,0.19872125323512255,0.31130464748844827
SEN,Senegal,0.5,0.5094690271353777,0.5054027482984292,0.4626541399748992,0.5488172846191608,0.48888102084529605,0.4836299443973829,0.4389074276414006,0.5284961465697565
SLE,Sierra Leone,0.5,0.3329391585317203,0.3310683853871288,0.2829030230496419,0.37859814888348664,0.29445860557125586,0.2925459955381253,0.24269547523637214,0.34220631888689135
TZA,Tanzania,0.5,0.42365040699502576,0.42108839774011797,0.376831502984513,0.4654568225525438,0.40029924678095213,0.39592368309749915,0.34908369331489464,0.44262981724772327
ZAF,South Africa,0.5,0.4658048289894366,0.4629801173295463,0.40627580844255856,0.5182018574314067,0.42998321997106026,0.4264363088564294,0.3657292127503324,0.485995887283354
ZMB,Zambia,0.5,0.3997821392246472,0.39829260162210733,0.3526009620191829,0.44462561289506575,0.3640546986309639,0.362057433256504,0.3140992341547576,0.4114516105209892
ZWE,Zimbabwe,0.5,0.27430576234077236,0.27198023699041085,0.22449032223608575,0.31767514167600036,0.243067753641624,0.2401177385750957,0.19111012813701247,0.2880350699278778
BWA,Botswana,0.75,0.564583206834401,0.5637504092805089,0.5093166087873967,0.6163130809359807,0.53403505716391,0.5313483239942927,0.475182552075735,0.584779250003602
COD,"Congo, Dem. Rep.",0.75,0.20198951628174855,0.20131362905638547,0.14148718253400455,0.26037262557987295,0.17304355699991633,0.1722259205643568,0.11325330570793675,0.23155074342321194
GHA,Ghana,0.75,0.4877806676408468,0.4866482706708692,0.4361531185339239,0.5368910149458134,0.45398074849775133,0.4526774396712698,0.4018149046772656,0.5034397006086692
